id,name,status,dietary
REG-19600,Xiomara Moreau,confirmed,gluten-free
REG-19601,Yusuf Quispe,waitlist,none
REG-19602,Jonas Kovacs,confirmed,vegetarian
REG-19603,Zofia Lindqvist,waitlist,none
REG-19604,Hiro Bergstrom,confirmed,none
REG-19605,Sven Quispe,confirmed,kosher
REG-19606,Lars Sorensen,confirmed,vegan
REG-19607,Jonas Wieland,confirmed,none
REG-19608,Rosa Jankowski,confirmed,vegan
REG-19609,Elif Castellanos,waitlist,none
REG-19610,Hiro Tanaka,confirmed,none
REG-19611,Yusuf Rasmussen,confirmed,none
REG-19612,Bruno Quispe,confirmed,none
REG-19613,Hiro Zielinski,waitlist,none
REG-19614,Zofia Bergstrom,waitlist,gluten-free
REG-19615,Elif Lindqvist,confirmed,kosher
REG-19616,Rosa Quispe,confirmed,vegan
REG-19617,Vera Wieland,confirmed,kosher
REG-19618,Greta Dimitrov,confirmed,none
REG-19619,Yusuf Grigoryan,waitlist,kosher
