code,name,rating,fee,available_days
SPK-001,Sven Vasquez,4.20,$8800.00,
SPK-002,Omar Eriksen,4.64,$14775.00,
SPK-003,Ines Tanaka,4.21,$12575.00,1;2;3
SPK-004,Mireille Lindqvist,4.52,$12025.00,3
SPK-005,Jonas Kovacs,3.53,$7025.00,3
SPK-006,Quentin Petrov,3.04,$10475.00,1
SPK-007,Wendell Ustinov,4.25,$6700.00,3
SPK-008,Rosa Zielinski,3.87,$12950.00,
SPK-009,Ines Tanaka,4.38,$5600.00,1;2;3
SPK-010,Zofia Vasquez,3.50,$12850.00,
SPK-011,Umut Petrov,4.84,$7900.00,1
SPK-012,Yusuf Kovacs,4.52,$12525.00,1
SPK-013,Bruno Grigoryan,3.90,$7825.00,1
SPK-014,Farid Jankowski,3.48,$15775.00,
SPK-015,Ines Eriksen,4.96,$8400.00,
SPK-016,Greta Kovacs,4.91,$10725.00,1;2
SPK-017,Greta Rasmussen,3.87,$13850.00,1;2;3
SPK-018,Hiro Lindqvist,3.60,$8775.00,1
SPK-019,Bruno Petrov,4.25,$13175.00,1
SPK-020,Xiomara Eriksen,4.48,$11125.00,1;2
SPK-021,Tamar Okonkwo,3.92,$8050.00,1;2;3
SPK-022,Quentin Grigoryan,4.68,$6800.00,1;2
SPK-023,Jonas Castellanos,4.36,$5225.00,2
SPK-024,Quentin Moreau,4.77,$5875.00,1
SPK-025,Nadia Zielinski,3.16,$8250.00,
SPK-026,Nadia Jankowski,4.16,$8650.00,1;2;3
SPK-027,Farid Zielinski,3.97,$9100.00,2;3
SPK-028,Ines Tanaka,3.39,$15950.00,
SPK-029,Vera Jankowski,4.29,$12325.00,
SPK-030,Mireille Moreau,4.13,$7150.00,1;2;3
SPK-031,Wendell Jankowski,4.89,$6225.00,1;2
SPK-032,Yusuf Petrov,3.94,$10775.00,1;2;3
SPK-033,Rosa Petrov,4.33,$5975.00,
SPK-034,Xiomara Petrov,3.88,$11050.00,2
SPK-035,Ada Sorensen,4.73,$8400.00,
SPK-036,Greta Tanaka,3.19,$7275.00,1;2;3
SPK-037,Ada Lindqvist,3.15,$10550.00,2;3
SPK-038,Rosa Grigoryan,3.57,$13800.00,
SPK-039,Deepak Sorensen,4.78,$10300.00,
SPK-040,Keiko Ustinov,3.68,$9750.00,1;2;3
SPK-041,Ines Grigoryan,4.35,$13175.00,3
SPK-042,Carmen Ustinov,3.27,$11650.00,1;2;3
SPK-043,Wendell Grigoryan,3.32,$13650.00,1;2;3
SPK-044,Sven Wieland,3.14,$9375.00,3
SPK-045,Sven Tanaka,4.42,$9100.00,1;2;3
SPK-046,Omar Castellanos,4.58,$6600.00,1
SPK-047,Xiomara Lindqvist,3.01,$11125.00,1;3
SPK-048,Wendell Vasquez,4.47,$13650.00,1;2;3
SPK-049,Xiomara Yamada,3.47,$15100.00,2;3
SPK-050,Wendell Tanaka,4.99,$7525.00,1;2;3
SPK-051,Bruno Vasquez,3.04,$15475.00,2
SPK-052,Ada Bergstrom,3.14,$8200.00,1;2;3
SPK-053,Wendell Yamada,4.47,$7175.00,1;2;3
SPK-054,Ada Eriksen,4.08,$6775.00,
SPK-055,Yusuf Okonkwo,3.76,$11400.00,1;2
SPK-056,Lars Okonkwo,4.72,$12775.00,1;2
SPK-057,Carmen Castellanos,4.08,$13475.00,
SPK-058,Deepak Yamada,3.93,$12100.00,2
SPK-059,Keiko Vasquez,4.10,$12350.00,
SPK-060,Priya Grigoryan,4.78,$10350.00,2
