id,name,status,dietary
REG-15922,Ines Quispe,waitlist,none
REG-15923,Deepak Jankowski,confirmed,none
REG-15924,Wendell Lindqvist,waitlist,none
REG-15925,Nadia Rasmussen,confirmed,none
REG-15926,Omar Jankowski,confirmed,none
REG-15927,Tamar Jankowski,confirmed,vegan
REG-15928,Rosa Zielinski,confirmed,none
REG-15929,Zofia Rasmussen,waitlist,none
REG-15930,Lars Zielinski,confirmed,none
REG-15931,Wendell Xu,confirmed,none
REG-15932,Priya Okonkwo,confirmed,none
REG-15933,Vera Rasmussen,confirmed,none
REG-15934,Wendell Wieland,cancelled,none
REG-15935,Nadia Petrov,confirmed,none
REG-15936,Tamar Grigoryan,confirmed,none
REG-15937,Mireille Yamada,confirmed,none
REG-15938,Elif Fontaine,confirmed,kosher
REG-15939,Keiko Petrov,confirmed,none
REG-15940,Quentin Vasquez,confirmed,none
REG-15941,Xiomara Rasmussen,confirmed,gluten-free
REG-15942,Hiro Quispe,confirmed,vegan
REG-15943,Xiomara Sorensen,confirmed,halal
REG-15944,Yusuf Sorensen,confirmed,none
REG-15945,Sven Abbasi,confirmed,none
REG-15946,Vera Eriksen,confirmed,none
REG-15947,Sven Vasquez,confirmed,kosher
REG-15948,Carmen Tanaka,waitlist,none
REG-15949,Keiko Dimitrov,cancelled,none
REG-15950,Wendell Dimitrov,waitlist,none
REG-15951,Wendell Jankowski,confirmed,none
REG-15952,Wendell Quispe,confirmed,none
REG-15953,Tamar Abbasi,confirmed,kosher
REG-15954,Hiro Petrov,confirmed,none
REG-15955,Omar Dimitrov,waitlist,none
REG-15956,Omar Hashimoto,confirmed,none
REG-15957,Nadia Eriksen,confirmed,none
REG-15958,Umut Rasmussen,waitlist,none
REG-15959,Vera Castellanos,confirmed,none
REG-15960,Priya Xu,confirmed,none
REG-15961,Quentin Moreau,waitlist,none
REG-15962,Bruno Kovacs,waitlist,none
REG-15963,Rosa Zielinski,confirmed,none
REG-15964,Elif Moreau,confirmed,halal
REG-15965,Ada Hashimoto,confirmed,none
REG-15966,Tamar Rasmussen,confirmed,none
REG-15967,Nadia Moreau,confirmed,gluten-free
REG-15968,Greta Quispe,confirmed,none
REG-15969,Sven Ustinov,confirmed,none
REG-15970,Umut Quispe,cancelled,none
REG-15971,Keiko Wieland,confirmed,none
REG-15972,Ines Xu,cancelled,none
REG-15973,Greta Fontaine,cancelled,none
REG-15974,Carmen Wieland,confirmed,none
REG-15975,Farid Eriksen,confirmed,none
REG-15976,Bruno Hashimoto,confirmed,none
REG-15977,Yusuf Eriksen,confirmed,none
REG-15978,Keiko Tanaka,confirmed,none
REG-15979,Jonas Dimitrov,waitlist,none
REG-15980,Deepak Lindqvist,confirmed,none
REG-15981,Omar Vasquez,confirmed,kosher
REG-15982,Jonas Ustinov,confirmed,none
REG-15983,Mireille Rasmussen,confirmed,none
REG-15984,Tamar Eriksen,confirmed,halal
REG-15985,Quentin Abbasi,confirmed,none
REG-15986,Quentin Jankowski,confirmed,kosher
REG-15987,Farid Zielinski,confirmed,none
REG-15988,Deepak Lindqvist,waitlist,none
REG-15989,Greta Moreau,confirmed,none
REG-15990,Vera Xu,confirmed,none
REG-15991,Vera Yamada,confirmed,none
REG-15992,Wendell Iyer,waitlist,none
REG-15993,Lars Eriksen,cancelled,none
REG-15994,Nadia Dimitrov,confirmed,none
REG-15995,Sven Abbasi,confirmed,none
REG-15996,Zofia Tanaka,confirmed,vegan
REG-15997,Zofia Bergstrom,confirmed,none
REG-15998,Sven Rasmussen,confirmed,none
REG-15999,Keiko Kovacs,waitlist,none
REG-16000,Lars Bergstrom,confirmed,gluten-free
REG-16001,Zofia Lindqvist,confirmed,none
REG-16002,Jonas Okonkwo,confirmed,none
REG-16003,Mireille Sorensen,waitlist,none
REG-16004,Tamar Bergstrom,confirmed,none
REG-16005,Lars Tanaka,confirmed,none
REG-16006,Ada Xu,waitlist,none
REG-16007,Xiomara Hashimoto,confirmed,none
REG-16008,Xiomara Tanaka,cancelled,none
REG-16009,Umut Iyer,confirmed,none
REG-16010,Xiomara Moreau,confirmed,none
REG-16011,Wendell Grigoryan,confirmed,gluten-free
REG-16012,Keiko Tanaka,confirmed,none
REG-16013,Elif Sorensen,cancelled,none
REG-16014,Nadia Hashimoto,confirmed,none
REG-16015,Jonas Dimitrov,waitlist,none
REG-16016,Greta Eriksen,cancelled,kosher
REG-16017,Vera Ustinov,waitlist,none
REG-16018,Hiro Dimitrov,confirmed,vegan
REG-16019,Keiko Dimitrov,cancelled,halal
REG-16020,Hiro Tanaka,waitlist,none
